drink,Volume (ml),Calories,Caffeine (mg),type_Energy Drinks,type_Energy Shots,type_Soft Drinks,type_Tea,type_Water
Tim Hortons Large Brewed Coffee,0.7117117117117117,0.014285714285714285,0.8307692307692308,False,False,False,False,False
7 Eleven Brewed Coffee,0.5675675675675675,0.014285714285714285,0.8615384615384616,False,False,False,False,False
Arby's Jamocha Shake,0.5675675675675675,1.0,0.03692307692307692,False,False,False,False,False
Biggby Brewed Coffee,0.5675675675675675,0.0,0.6153846153846154,False,False,False,False,False
Biggby Creamy Lattes,0.5675675675675675,1.0,0.3076923076923077,False,False,False,False,False
Biggby Iced Coffee,0.5675675675675675,0.0,0.47692307692307695,False,False,False,False,False
Caribou Brewed Coffee,0.5675675675675675,0.014285714285714285,0.9384615384615385,False,False,False,False,False
Coffee Bean & Tea leaf Coffee,0.5675675675675675,0.014285714285714285,1.0,False,False,False,False,False
Einstein Bros Coffee,0.5675675675675675,0.0,0.6338461538461538,False,False,False,False,False
Latte,0.5675675675675675,0.45714285714285713,0.47384615384615386,False,False,False,False,False
McDonalds (McCafe) Latte,0.5675675675675675,0.5428571428571428,0.4369230769230769,False,False,False,False,False
McDonalds (McCafe) Mocha,0.5675675675675675,1.0,0.5138461538461538,False,False,False,False,False
McDonalds Coffee,0.5675675675675675,0.0,0.4461538461538462,False,False,False,False,False
Panera Bread Coffee,0.5675675675675675,0.04285714285714286,0.5815384615384616,False,False,False,False,False
Peet's Brewed Coffee,0.5675675675675675,0.014285714285714285,0.8215384615384616,False,False,False,False,False
Peet's Caffe Americano,0.5675675675675675,0.02857142857142857,0.4307692307692308,False,False,False,False,False
Peet's Caffe Latte,0.5675675675675675,0.5428571428571428,0.4307692307692308,False,False,False,False,False
Peet's Caffe Mocha,0.5675675675675675,1.0,0.5076923076923077,False,False,False,False,False
Peet's Cappuccino,0.5675675675675675,0.4,0.4307692307692308,False,False,False,False,False
Peet's Iced Coffee,0.5675675675675675,0.0,0.46153846153846156,False,False,False,False,False
Peet's Iced Latte,0.5675675675675675,0.34285714285714286,0.4307692307692308,False,False,False,False,False
Peet's Iced Mocha,0.5675675675675675,0.8857142857142857,0.5076923076923077,False,False,False,False,False
Starbucks Caramel Macchiato,0.5675675675675675,0.7142857142857143,0.46153846153846156,False,False,False,False,False
Starbucks Cold Brew Coffee,0.5675675675675675,0.014285714285714285,0.6307692307692307,False,False,False,False,False
Starbucks Decaf Coffee,0.5675675675675675,0.0,0.07692307692307693,False,False,False,False,False
Starbucks Grande Caffe Americano,0.5675675675675675,0.04285714285714286,0.6923076923076923,False,False,False,False,False
Starbucks Grande Caffe Latte,0.5675675675675675,0.5428571428571428,0.46153846153846156,False,False,False,False,False
Starbucks Grande Caffe Mocha,0.5675675675675675,1.0,0.5384615384615384,False,False,False,False,False
Starbucks Grande Cappuccino,0.5675675675675675,0.4,0.46153846153846156,False,False,False,False,False
Starbucks Grande Coffee,0.5675675675675675,0.014285714285714285,0.9538461538461539,False,False,False,False,False
Starbucks Iced Americano,0.5675675675675675,0.04285714285714286,0.6923076923076923,False,False,False,False,False
Starbucks Nitro Cold Brew Coffee,0.5675675675675675,0.014285714285714285,0.8615384615384616,False,False,False,False,False
Starbucks Pink Drink,0.5675675675675675,0.4,0.13846153846153847,False,False,False,False,False
Starbucks Pumpkin Cream Cold Brew,0.5675675675675675,0.7142857142857143,0.5692307692307692,False,False,False,False,False
Starbucks Refreshers,0.5675675675675675,0.2,0.13846153846153847,False,False,False,False,False
Wawa Coffee,0.5675675675675675,0.011428571428571429,0.8923076923076924,False,False,False,False,False
Private Selection Canned Espresso,0.5315315315315315,0.6571428571428571,0.4461538461538462,False,False,False,False,False
Starbucks Doubleshot Energy,0.5315315315315315,0.6285714285714286,0.4153846153846154,False,False,False,False,False
Wide Awak Energy Coffee,0.5315315315315315,0.5428571428571428,0.5538461538461539,False,False,False,False,False
Chick-fil-A Frosted Coffee,0.49549549549549543,0.6857142857142857,0.4,False,False,False,False,False
Chick-fil-A Iced Coffee,0.49549549549549543,0.5428571428571428,0.24615384615384617,False,False,False,False,False
Dunkin' Donuts Brewed Coffee,0.49549549549549543,0.014285714285714285,0.6461538461538462,False,False,False,False,False
Dunkin' Donuts Dunkaccino,0.49549549549549543,1.0,0.2553846153846154,False,False,False,False,False
Dunkin' Donuts Extra Charged Coffee,0.49549549549549543,0.02857142857142857,0.7753846153846153,False,False,False,False,False
Dunkin' Donuts Latte,0.49549549549549543,0.2857142857142857,0.5107692307692308,False,False,False,False,False
Americano Coffee,0.4234234234234234,0.014285714285714285,0.47384615384615386,False,False,False,False,False
Big Train Java Chip Ice Coffee,0.4234234234234234,1.0,0.15076923076923077,False,False,False,False,False
Biohazard Coffee,0.4234234234234234,0.008571428571428572,1.0,False,False,False,False,False
Black Ink Coffee,0.4234234234234234,0.0,0.4430769230769231,False,False,False,False,False
Black Insomnia Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Black Label Brewed Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Cafe Bustelo,0.4234234234234234,0.0,0.46153846153846156,False,False,False,False,False
Caffe Mocha,0.4234234234234234,0.6828571428571428,0.4676923076923077,False,False,False,False,False
Caffe Nero Coffee,0.4234234234234234,0.014285714285714285,0.49230769230769234,False,False,False,False,False
Cannonball Coffee Maximum Charge (UK),0.4234234234234234,0.0,1.0,False,False,False,False,False
Cappuccino,0.4234234234234234,0.27714285714285714,0.47384615384615386,False,False,False,False,False
Death Wish Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Devils Brew Extreme Caffeine Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Flat White,0.4234234234234234,0.4857142857142857,0.4,False,False,False,False,False
GymBrew Coffee,0.4234234234234234,0.011428571428571429,1.0,False,False,False,False,False
High Voltage Coffee (AU),0.4234234234234234,0.0,1.0,False,False,False,False,False
International Delight Iced Coffee,0.4234234234234234,0.5142857142857142,0.27076923076923076,False,False,False,False,False
Seattle's Best Brewed Coffee,0.4234234234234234,0.02857142857142857,0.8,False,False,False,False,False
Starbucks Iced Espresso Classics,0.4234234234234234,0.5428571428571428,0.38461538461538464,False,False,False,False,False
Stipe Miocic Extra Strength Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Sudden Instant Coffee,0.4234234234234234,0.0,0.2923076923076923,False,False,False,False,False
Taft Coffee (EU),0.4234234234234234,0.0,1.0,False,False,False,False,False
Very Strong Coffee,0.4234234234234234,0.0,1.0,False,False,False,False,False
Chameleon Cold Brew With Milk,0.3873873873873873,0.2857142857142857,0.3076923076923077,False,False,False,False,False
Muscle Milk Coffee House,0.3873873873873873,0.37142857142857144,0.36923076923076925,False,False,False,False,False
SlimFast Shake - Cappuccino,0.3873873873873873,0.5142857142857142,0.3076923076923077,False,False,False,False,False
Starbucks Bottled Cold Brew,0.3873873873873873,0.14285714285714285,0.5538461538461539,False,False,False,False,False
Starbucks Canned Nitro Cold Brew,0.3873873873873873,0.0,0.7230769230769231,False,False,False,False,False
Starbucks Cold & Crafted,0.3873873873873873,0.14285714285714285,0.4153846153846154,False,False,False,False,False
Stumptown Nitro Cold Brew,0.3873873873873873,0.008571428571428572,1.0,False,False,False,False,False
Sunup Pure Green Coffee,0.3873873873873873,0.014285714285714285,0.6153846153846154,False,False,False,False,False
Wide Awake Coffee Cold Brew,0.3873873873873873,0.014285714285714285,0.36923076923076925,False,False,False,False,False
Chameleon Cold Brew RTD,0.3513513513513513,0.02857142857142857,0.7076923076923077,False,False,False,False,False
Chick-fil-A Brewed Coffee,0.3513513513513513,0.0,0.41846153846153844,False,False,False,False,False
CoolBrew Coffee,0.3513513513513513,0.0,0.18461538461538463,False,False,False,False,False
Tim Hortons Small French Vanilla Coffee,0.3513513513513513,0.0,0.18461538461538463,False,False,False,False,False
La Colombe Cold Brew,0.31531531531531526,0.014285714285714285,0.5538461538461539,False,False,False,False,False
La Colombe Draft Latte,0.31531531531531526,0.2571428571428571,0.36923076923076925,False,False,False,False,False
Alpine Start Instant Coffee,0.27927927927927926,0.0,0.36923076923076925,False,False,False,False,False
Bulletproof Coffee,0.27927927927927926,0.0,0.4461538461538462,False,False,False,False,False
Califia Farms Cold Brew Coffee,0.27927927927927926,0.02857142857142857,0.5538461538461539,False,False,False,False,False
CBD Coffee,0.27927927927927926,0.0,0.3076923076923077,False,False,False,False,False
Chameleon Cold Brew Coffee,0.27927927927927926,0.04285714285714286,0.6153846153846154,False,False,False,False,False
Coffee,0.27927927927927926,0.0,0.5015384615384615,False,False,False,False,False
"Coffee (Decaf, Instant)",0.27927927927927926,0.017142857142857144,0.006153846153846154,False,False,False,False,False
Coffee (Instant),0.27927927927927926,0.0,0.1753846153846154,False,False,False,False,False
Coffee Leaf Tea,0.27927927927927926,0.0,0.06153846153846154,False,False,False,False,False
Crio Bru Brewed Cacao,0.27927927927927926,0.05714285714285714,0.03076923076923077,False,False,False,False,False
Death Wish Canned Cold Brew,0.27927927927927926,0.04285714285714286,0.9230769230769231,False,False,False,False,False
Death Wish Latte,0.27927927927927926,0.4857142857142857,0.9230769230769231,False,False,False,False,False
Decaf Coffee,0.27927927927927926,0.005714285714285714,0.01846153846153846,False,False,False,False,False
Driftaway Coffee,0.27927927927927926,0.0,0.49230769230769234,False,False,False,False,False
Eight O'Clock Coffee,0.27927927927927926,0.0,0.3446153846153846,False,False,False,False,False
Folgers Coffee,0.27927927927927926,0.0,0.3446153846153846,False,False,False,False,False
Gold Peak Coffee,0.27927927927927926,0.014285714285714285,0.38769230769230767,False,False,False,False,False
Gothrider Gasoline Coffee,0.27927927927927926,0.0,0.6153846153846154,False,False,False,False,False
High Brew Coffee,0.27927927927927926,0.14285714285714285,0.4307692307692308,False,False,False,False,False
Indulgio Cappuccino,0.27927927927927926,0.2257142857142857,0.06153846153846154,False,False,False,False,False
K Cup Decaf,0.27927927927927926,0.0,0.012307692307692308,False,False,False,False,False
K-Cup Coffee,0.27927927927927926,0.0,0.3076923076923077,False,False,False,False,False
Maxwell House Coffee,0.27927927927927926,0.0,0.3446153846153846,False,False,False,False,False
Maxwell House Max Boost Coffee,0.27927927927927926,0.0,0.6030769230769231,False,False,False,False,False
Nescafe Dolce Gusto,0.27927927927927926,0.0,0.3261538461538461,False,False,False,False,False
Nescafe Ice Java,0.27927927927927926,0.14285714285714285,0.3076923076923077,False,False,False,False,False
Nescafe Ricoffy,0.27927927927927926,0.02857142857142857,0.01846153846153846,False,False,False,False,False
Nestle Milo,0.27927927927927926,0.22857142857142856,0.012307692307692308,False,False,False,False,False
Noocaf Smart Coffee,0.27927927927927926,0.0,0.49230769230769234,False,False,False,False,False
Ocean Spray Brew,0.27927927927927926,0.08571428571428572,0.12307692307692308,False,False,False,False,False
Purity Coffee,0.27927927927927926,0.0,0.5015384615384615,False,False,False,False,False
Revv Coffee Pods,0.27927927927927926,0.0,0.39076923076923076,False,False,False,False,False
Robusta Coffee,0.27927927927927926,0.0,0.8153846153846154,False,False,False,False,False
Starbucks 2X Coffee Pods,0.27927927927927926,0.0,0.8,False,False,False,False,False
Starbucks Cordusio Mocha,0.27927927927927926,0.37142857142857144,0.47692307692307695,False,False,False,False,False
Starbucks Verismo Coffee Pods,0.27927927927927926,0.0,0.18461538461538463,False,False,False,False,False
Starbucks Via Ready Brew,0.27927927927927926,0.0,0.4153846153846154,False,False,False,False,False
Steep 18 Cold Brew,0.27927927927927926,0.0,0.27692307692307694,False,False,False,False,False
Taster's Choice Instant Coffee,0.27927927927927926,0.0,0.30153846153846153,False,False,False,False,False
Voila Instant Coffee,0.27927927927927926,0.0,0.3076923076923077,False,False,False,False,False
Waka Decaf Instant Coffee,0.27927927927927926,0.0,0.012307692307692308,False,False,False,False,False
Waka Indian Instant Coffee,0.27927927927927926,0.0,0.2153846153846154,False,False,False,False,False
Waka Instant Coffee,0.27927927927927926,0.0,0.2153846153846154,False,False,False,False,False
Whipped (Dalgona) Coffee,0.27927927927927926,0.13714285714285715,0.3230769230769231,False,False,False,False,False
Mushroom Coffee,0.24324324324324323,0.014285714285714285,0.12307692307692308,False,False,False,False,False
Cafe Con Leche,0.2072072072072072,0.16,0.47384615384615386,False,False,False,False,False
Choffy (roasted cacao),0.2072072072072072,0.0,0.07076923076923076,False,False,False,False,False
COGO Caffeinated Hot Chocolate,0.2072072072072072,0.3142857142857143,0.30153846153846153,False,False,False,False,False
Dripdash Kyoto Coffee,0.2072072072072072,0.0,0.6923076923076923,False,False,False,False,False
Long Black,0.2072072072072072,0.005714285714285714,0.47384615384615386,False,False,False,False,False
Nescafe 3 in 1 Instant Coffee,0.2072072072072072,0.21142857142857144,0.15384615384615385,False,False,False,False,False
Gloria Jean's Coffee,0.06407207207207206,0.0,0.20615384615384616,False,False,False,False,False
Biggby Espresso,0.06306306306306306,0.0,0.3076923076923077,False,False,False,False,False
Greek Coffee (Metrios),0.06306306306306306,0.07142857142857142,0.15384615384615385,False,False,False,False,False
Turkish Coffee,0.06306306306306306,0.05714285714285714,0.15384615384615385,False,False,False,False,False
28 Black Energy Drink,0.2958558558558559,0.35714285714285715,0.24615384615384617,True,False,False,False,False
4 Purpose Energy Drink,0.2958558558558559,0.2,0.2153846153846154,True,False,False,False,False
BEEBAD Energy Drink,0.2958558558558559,0.3142857142857143,0.24615384615384617,True,False,False,False,False
Black Bruin Energy Drink,0.2958558558558559,0.3485714285714286,0.11692307692307692,True,False,False,False,False
Blu Frog Energy Drink,0.2958558558558559,0.2571428571428571,0.24615384615384617,True,False,False,False,False
Blue Bolt (UK),0.2958558558558559,0.32,0.24615384615384617,True,False,False,False,False
Blue Charge (UK),0.2958558558558559,0.14,0.24615384615384617,True,False,False,False,False
Blue Spark (UK),0.2958558558558559,0.16,0.23076923076923078,True,False,False,False,False
Bomb Energy Drink,0.2958558558558559,0.0,0.24615384615384617,True,False,False,False,False
Boost Energy (UK),0.2958558558558559,0.1657142857142857,0.24615384615384617,True,False,False,False,False
Euro Shopper Energy Drink (EU),0.2958558558558559,0.32857142857142857,0.24615384615384617,True,False,False,False,False
Hell Energy Drink (EU),0.2958558558558559,0.32857142857142857,0.24615384615384617,True,False,False,False,False
Hype Energy Drink (EU),0.2958558558558559,0.30857142857142855,0.24615384615384617,True,False,False,False,False
M-150 Energy Drink,0.2958558558558559,0.44285714285714284,0.24615384615384617,True,False,False,False,False
Pure Cofain 699 (EU),0.2958558558558559,0.4228571428571429,0.5384615384615384,True,False,False,False,False
Red Bull,0.2958558558558559,0.3342857142857143,0.24615384615384617,True,False,False,False,False
Red Bull Editions,0.2958558558558559,0.32285714285714284,0.24615384615384617,True,False,False,False,False
Red Bull Sugarfree,0.2958558558558559,0.02857142857142857,0.24615384615384617,True,False,False,False,False
Red Bull Zero,0.2958558558558559,0.0,0.24615384615384617,True,False,False,False,False
Scheckters Energy Drink,0.2958558558558559,0.22285714285714286,0.24615384615384617,True,False,False,False,False
Slammers Energy Drink (EU),0.2958558558558559,0.3485714285714286,0.24615384615384617,True,False,False,False,False
Source 1899 (UK),0.2958558558558559,0.1657142857142857,0.24615384615384617,True,False,False,False,False
Taurus Energy Drink,0.2958558558558559,0.5142857142857142,0.15384615384615385,True,False,False,False,False
TENZING Natural Energy,0.2958558558558559,0.14285714285714285,0.24615384615384617,True,False,False,False,False
Tiger Energy Drink,0.2958558558558559,0.0,0.24615384615384617,True,False,False,False,False
Tweaker Energy Drink,0.2958558558558559,0.3142857142857143,0.24615384615384617,True,False,False,False,False
Virtue Clean Energy Beverage,0.2958558558558559,0.022857142857142857,0.24615384615384617,True,False,False,False,False
Wildcat Energy Drink (UK),0.2958558558558559,0.32857142857142857,0.24615384615384617,True,False,False,False,False
X Ray Energy Drink,0.2958558558558559,0.35714285714285715,0.24307692307692308,True,False,False,False,False
OK Energy Drink,0.2954954954954955,0.32285714285714284,0.24615384615384617,True,False,False,False,False
Power Horse Energy Drink (EU),0.2954954954954955,0.35714285714285715,0.24615384615384617,True,False,False,False,False
V Energy Drink,0.2954954954954955,0.3314285714285714,0.24,True,False,False,False,False
XL Energy Drink (EU),0.2954954954954955,0.33714285714285713,0.24615384615384617,True,False,False,False,False
Crave Energy Drink (UK),0.29477477477477476,0.02857142857142857,0.24615384615384617,True,False,False,False,False
Bomba (EU),0.29369369369369364,0.3514285714285714,0.24615384615384617,True,False,False,False,False
Cintron Energy Drink,0.29369369369369364,0.17142857142857143,0.26153846153846155,True,False,False,False,False
Dutch Bros Blue Rebel Energy Drink,0.29369369369369364,0.3314285714285714,0.24615384615384617,True,False,False,False,False
XS Energy Drink,0.29369369369369364,0.02857142857142857,0.24615384615384617,True,False,False,False,False
Wild Tiger Energy Drink,0.29225225225225226,0.35714285714285715,0.23076923076923078,True,False,False,False,False
Liquid Ice Energy Drink,0.29009009009009007,0.34285714285714286,0.24615384615384617,True,False,False,False,False
Rush! Energy Drink,0.29009009009009007,0.34285714285714286,0.24615384615384617,True,False,False,False,False
Monster Hydro,0.9063063063063062,0.42857142857142855,0.5784615384615385,True,False,False,False,False
Monster Import,0.6612612612612612,0.5428571428571428,0.5507692307692308,True,False,False,False,False
Moose Juice Energy Drink,0.6014414414414414,0.0,0.6153846153846154,True,False,False,False,False
Club Mate (EU),0.6003603603603603,0.45714285714285713,0.3076923076923077,True,False,False,False,False
Demon Energy Drink,0.6003603603603603,0.7228571428571429,0.49230769230769234,True,False,False,False,False
LevlUp Gaming Booster,0.6003603603603603,0.022857142857142857,0.7692307692307693,True,False,False,False,False
Monster Ripper Energy Juice (UK),0.6003603603603603,0.5285714285714286,0.49230769230769234,True,False,False,False,False
Monster The Doctor VR46 (UK),0.6003603603603603,0.6257142857142857,0.49230769230769234,True,False,False,False,False
Mother Energy Drink,0.6003603603603603,0.6514285714285715,0.49230769230769234,True,False,False,False,False
Protein2O + Energy,0.6003603603603603,0.2,0.38461538461538464,True,False,False,False,False
Strike Force Energy Drink Mix,0.6003603603603603,0.0,0.49230769230769234,True,False,False,False,False
4C Energy Drink Mix,0.6,0.04285714285714286,0.5230769230769231,True,False,False,False,False
Arizona Arnold Palmer Half and Half,0.6,0.5142857142857142,0.046153846153846156,True,False,False,False,False
Gatorade Bolt 24 Energize,0.6,0.11428571428571428,0.23076923076923078,True,False,False,False,False
Live+ Energy Drink,0.6,0.6485714285714286,0.46153846153846156,True,False,False,False,False
Pure Kick Energy Drink Mix,0.6,0.02857142857142857,0.24615384615384617,True,False,False,False,False
Monster Dragon Tea,0.5495495495495495,0.11428571428571428,0.47692307692307695,True,False,False,False,False
Monster Rehab,0.5495495495495495,0.07142857142857142,0.5230769230769231,True,False,False,False,False
Neuro Sonic,0.5135135135135135,0.1,0.3076923076923077,True,False,False,False,False
Lucozade,0.454054054054054,0.38,0.14153846153846153,True,False,False,False,False
Fakeer Energy Drink (EU),0.44216216216216214,0.4228571428571429,0.3630769230769231,True,False,False,False,False
Arizona Energy Drink Rx,0.4054054054054054,0.37142857142857144,0.39076923076923076,True,False,False,False,False
Bai Boost,0.4043243243243243,0.02857142857142857,0.3384615384615385,True,False,False,False,False
NOCCO Energy Drink (EU),0.3935135135135135,0.0,0.5538461538461539,True,False,False,False,False
Carabao Energy Drink (UK),0.39315315315315313,0.18,0.3261538461538461,True,False,False,False,False
Irn Bru (UK),0.39315315315315313,0.18571428571428572,0.09230769230769231,True,False,False,False,False
Soylent Stacked,0.39315315315315313,0.5142857142857142,0.3076923076923077,True,False,False,False,False
Red Eye Energy Drink,0.39099099099099094,0.4257142857142857,0.3261538461538461,True,False,False,False,False
Mega Monster Energy Drink,0.8558558558558558,0.9142857142857143,0.7384615384615385,True,False,False,False,False
Amino Force Energy Drink,0.7837837837837837,0.0,0.6153846153846154,True,False,False,False,False
Bodyarmour Edge,0.7117117117117117,0.5142857142857142,0.3076923076923077,True,False,False,False,False
SoBe Energy Citrus,0.7117117117117117,0.7142857142857143,0.24923076923076923,True,False,False,False,False
ABB Turbo Tea Zero,0.6396396396396395,0.0,0.36923076923076925,True,False,False,False,False
Bai Antioxidant Infusion,0.6396396396396395,0.02857142857142857,0.16923076923076924,True,False,False,False,False
Viso Energy Drink,0.6036036036036035,0.4,0.9230769230769231,True,False,False,False,False
3D Energy Drink,0.5675675675675675,0.04285714285714286,0.6153846153846154,True,False,False,False,False
Adrenaline Shoc,0.5675675675675675,0.02857142857142857,0.9230769230769231,True,False,False,False,False
Alsa Energy Drink Mix,0.5675675675675675,0.08571428571428572,0.3076923076923077,True,False,False,False,False
Bang Energy,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
Bang Keto Coffee,0.5675675675675675,0.37142857142857144,0.9230769230769231,True,False,False,False,False
Bang Natural,0.5675675675675675,0.0,0.7692307692307693,True,False,False,False,False
Bang Sweet Tea,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
Beaver Buzz Energy Drink,0.5675675675675675,0.6857142857142857,0.5476923076923077,True,False,False,False,False
Berzerk Energy Drink Mix,0.5675675675675675,0.014285714285714285,0.6153846153846154,True,False,False,False,False
C4 Energy Drink,0.5675675675675675,0.0,0.6153846153846154,True,False,False,False,False
C4 Smart Energy Drink,0.5675675675675675,0.0,0.6153846153846154,True,False,False,False,False
C4 Ultimate Energy Drink,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
Celsius Heat Energy Drink,0.5675675675675675,0.04285714285714286,0.9230769230769231,True,False,False,False,False
Crunk Energy Drink,0.5675675675675675,0.5714285714285714,0.5907692307692307,True,False,False,False,False
Crystal Light Energy Mix,0.5675675675675675,0.02857142857142857,0.18461538461538463,True,False,False,False,False
Electric Monkey Wild Energy Drink,0.5675675675675675,0.6285714285714286,0.49230769230769234,True,False,False,False,False
Full Throttle Energy Drink,0.5675675675675675,0.6285714285714286,0.49230769230769234,True,False,False,False,False
GFuel Cans,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
GFuel Energy Drink Mix,0.5675675675675675,0.04285714285714286,0.4307692307692308,True,False,False,False,False
Go Fast Energy Drink,0.5675675675675675,0.5714285714285714,0.49230769230769234,True,False,False,False,False
Go Fast High Octane Energy Drink,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
Great Value Energy Drink Mix,0.5675675675675675,0.02857142857142857,0.36923076923076925,True,False,False,False,False
Gridlock Energy Drink,0.5675675675675675,0.5714285714285714,0.4307692307692308,True,False,False,False,False
Hi Ball Energy Drink,0.5675675675675675,0.0,0.49230769230769234,True,False,False,False,False
Joker Mad Energy,0.5675675675675675,0.7428571428571429,0.49230769230769234,True,False,False,False,False
Liquid Help Energy Drink,0.5675675675675675,0.0,0.9230769230769231,True,False,False,False,False
Loud Energy Drink,0.5675675675675675,0.02857142857142857,0.9846153846153847,True,False,False,False,False
Monster Assault,0.5675675675675675,0.6,0.49230769230769234,True,False,False,False,False
Monster Energy,0.5675675675675675,0.6,0.49230769230769234,True,False,False,False,False
Monster Juice,0.5675675675675675,0.45714285714285713,0.49230769230769234,True,False,False,False,False
Monster Lo-Carb,0.5675675675675675,0.08571428571428572,0.4307692307692308,True,False,False,False,False
Monster Mango Loco,0.5675675675675675,0.6857142857142857,0.4676923076923077,True,False,False,False,False
Monster Mule,0.5675675675675675,0.6,0.49230769230769234,True,False,False,False,False
Monster Pipeline Punch,0.5675675675675675,0.5428571428571428,0.49230769230769234,True,False,False,False,False
Monster Ultra,0.5675675675675675,0.02857142857142857,0.46153846153846156,True,False,False,False,False
Monster Zero Sugar,0.5675675675675675,0.02857142857142857,0.4307692307692308,True,False,False,False,False
Mountain Dew Amp,0.5675675675675675,0.6285714285714286,0.4369230769230769,True,False,False,False,False
Mountain Dew Game Fuel,0.5675675675675675,0.2571428571428571,0.27692307692307694,True,False,False,False,False
Mountain Dew Rise,0.5675675675675675,0.07142857142857142,0.5538461538461539,True,False,False,False,False
NOS Energy Drink,0.5675675675675675,0.5714285714285714,0.49230769230769234,True,False,False,False,False
Nuun Sport,0.5675675675675675,0.04285714285714286,0.12307692307692308,True,False,False,False,False
Propel Zero Powder,0.5675675675675675,0.0,0.0,True,False,False,False,False
Pure Boost Energy Drink Mix,0.5675675675675675,0.07142857142857142,0.3076923076923077,True,False,False,False,False
Quake Energy Berry Blast Slurpee,0.5675675675675675,0.014285714285714285,0.28307692307692306,True,False,False,False,False
Quake Energy Drink,0.5675675675675675,0.0,0.7692307692307693,True,False,False,False,False
